total,rank,title,artist,release_date,genre,language,lyrics_clean,source
588,17,part of me,a boogie wit da hoodie,2025-10-10,other,english,"intro luca on the track verse 1 you deserve a patek and a birky, look i know im heavy, but im ready for you its been a while, know my savages is thirsty somebody round me catch a body, girl, im headin to you ooh, somebody try to touch my chain and we gon murk em bout twentyfive inside the glocky, let it burn, mm like michael jack, can you just rock with me like look like kawasaki, can you ride like a bike when you come through like how your birkins always complement your herms sandals ass fat, lululemon them tights if you want to say my name, make you yell it out on purpose tat my name on you, spell it out in cursive jump in the maybach, we can hide behind the curtains knew shit got crazy when the perkies wasnt workin heard about you rattin, try to call, dont got no service try to catch me lackin, its too bad, this 40 turn shit mm, i really mean it when i said i, i love you so turned to a demon when you left, you left me in the cold and i aint know nothin, i was stupid, i was buggin, i was fine by myself chorus when you left, you lost a part of me who put chrome heart on your sleeve you know thats all me you was posed to be my favorite no chasin when its up in your cup closet for him, i replaced all your stuff new hoes in my face tryna get in my bed im just sayin, baby, you was posed to be my favorite you might also like eyes closed jisoo zayn pixelated kisses joji lets do it lil baby, playboi carti skooly verse 2 im just sayin its your beauty, shawty even though your sweatpants say juicy and its jiggly never said it, but i like you better naked, icy necklace she like, what you doin come through, got off the exit park the bentley, you know i like flexin always puttin you first, shouldve put you second, though guess i never learned my fuckin lesson still smell your perfume in my bed guess i woke up on the wrong side tryna figure out where the hell i went wrong, i will never ever disrespect, i put you courtside im from the bronx, i got an x under my eye for it i got a glocky in my pants and you could die for it yeah, im a dog, aint got no roof woo im in a coupe and if i tell a nigga shoot, then he gon slide for it goin crazy, i really need you back in my life, baby chorus when you left, you lost a part of me who put chrome heart on your sleeve you know thats all me you was posed to be my favorite no chasin when its up in your cup closet for him, i replaced all your stuff i replaced all your stuff new hoes in my face tryna get in my bed im just sayin, baby, you was posed to be my favorite outro when you left, i lost a part of me chrome heart on your sleeve you was posed to be my favorite no chasin when its up in your cup and i replaced all your stuff and it aint nobody better",https://genius.com/A-boogie-wit-da-hoodie-part-of-me-lyrics
592,22,i ll take care of you,"tyler, the creator",2025-07-21,pop,english,"chorus yebba, tyler, the creator, both you gotta know ill take care of you, you, you, you you, you, you ill take care of you, you, you yeah you, you all ill take care of you refrain killa c, princess, tyler, the creator yebba never been no pussy, niggas scared to throw them things, mane fuckin with no hoes, aint never been no lame never been no pussy, niggas scared to throw them things, mane ill take care of you fuckin with no hoes, aint never been no lame never been no pussy, niggas scared to throw them things, mane fuckin with no hoes, aint never been no lame nough is enough, boy ruck and get stuffed, boy luck is a must, boy ill take care refrain princess, lil scotherpy, princess lil scotherpy, tyler, the creator yebba ill take care of you nough is enough, boy ruck and get stuffed, boy luck is a must, boy knuck if you buck, boy nough is enough, boy knuck if you buck, boy ruck and get stuffed, boy knuck if you buck, boy luck is a must, boy knuck if you buck, boy knuck if you buck, boy ill take care of you might also like new magic wand tyler, the creator mother tyler, the creator dont you worry baby tyler, the creator verse tyler, the creator, tyler, the creator yebba all your love, my heart and soul i ride until my body cold i dont know why things are gone hey ill take care of you wait a minute, im goin through some shit i can tell its not beginning to work stay, hey ill take care of you, oh ill take care of you refrain killa c fuckin with no hoes, aint never been no lame aint never been no pussy, niggas scared to throw them things, mane fuckin with no hoes, aint never been no lame aint never been no pussy, niggas scared to throw them things, mane outro tyler, the creator, tyler, the creator yebba killa c yeah ill take care of you fuckin with no hoes, aint never been no lame aint never been no pussy, niggas scared to throw them things, mane",https://genius.com/Tyler-the-creator-ill-take-care-of-you-lyrics
597,27,me you,the kid laroi,2026-01-09,pop,english,"verse 1 i had your back when nobody else did, now i gotta fall back say well talk in one month, baby, dont try to crawl back say that we have all these problems, tell me what caused them i spent a week inside my head, i was tryna solve it i wish that i could drive my cadillac right to your condo like i used to and connect up to your bluetooth play the shit you like and get you right like how i used to i guess im just someone you got used to crazy part about it is that you knew that i would always choose you so, how the fuck did you let them confuse you ohoh ill keep what you told me in private, we spent six days on a island lookd in my eyes and said forevr, i did not take that lightly you used to wake up beside me, now you post shit just to spite me your best friend wanna fight me, and i dont know what for i always thought that he liked me, i really fucked with him, too its sad to see how much has changed between me and you chorus me and you, me and you, me and you, girl me and you, me and you, me and you, girl you and i, me and you, me and you, girl me and you, baby, me and you verse 2 i used to live out in the valley member, you would drive like thirty in your bimmer that your ex gave you actually, it was an audi, sorry, girl, my memorys cloudy just remember that i clowned you for that then you swapped it for a porsche cayenne what happens to the things that we planned we made a pact that we would stick together did you listen to em when they told us both that we cant you might also like july the kid laroi private the kid laroi rather be the kid laroi chorus me and you, me and you, me and you, girl me and you, me and you, me and you, girl you and i, me and you, me and you, girl me and you, baby, me and you verse 3 hold on, i got more to say to you i moved into the buildin five minutes away from you and any time we go out and have dinner, its paid for you i know i told you in the text i sent you id wait for you but, its gettin hard to do that gave you every part of me, and, girl, i know you knew that i gave you fuckin everything, and you still chose to choose them its crazy cause if it was up to me, i wouldve chosen chorus me and you, me and you, me and you, girl me and you, me and you, me and you, girl you and i, me and you, me and you, girl me and you, baby, me and you",https://genius.com/The-kid-laroi-me-you-lyrics
598,28,july,the kid laroi,2026-01-09,pop,english,"chorus playin back the night in july when i held you for the last time you promised that your love wouldnt die, and then i dried your eyes but now, you say thats not how you feel i wish that you could just be real, oh cause, baby, we needed to heal dried your eyes, oh postchorus cause the things that you say and you feel, they aint never aligned, oh so i wrote this song for you, just to remind you now that you were the one who chose to walk out the door oh and chose not to be sure yeah chorus playin back the night in july when i held you for th last time you promised that your love wouldnt di, and then i dried your eyes but now, you say thats not how you feel i wish that you could just be real, oh cause, baby, we needed to heal dried your eyes, oh postchorus cause the things that you say and you feel, they aint never aligned, oh never enough, never enough, no so i wrote this song for you, just to remind you now never enough, never enough, no that you were the one who chose to walk out the door never enough, never enough, no and chose not to be sure oh you might also like come down the kid laroi private the kid laroi me you the kid laroi chorus playin back the night in july when i held you for the last time you promised that your love wouldnt die, and then i dried your eyes but now, you say thats not how you feel i wish that you could just be real, oh cause, baby, we needed to heal dried your eyes bridge never enough, never enough, no ah never enough, never enough, no ah, no, ah never enough, never enough, no ah outro its so lonely on the road, are you sick of complainin how long til all the things youre pushin down come up and you face em how many people are in your life since its not hard to replace em they gas you up and give you seven different reasons to hate me i had to let you go, and trust me when i say that it pained me and it took everything to not address the picture you painted but i got way too much respect for you and double the patience you know that youre crazy, you know i could take it",https://genius.com/The-kid-laroi-july-lyrics
599,29,come down,the kid laroi,2026-01-09,pop,english,"chorus ive been gettin high and a little too drunk baby, ive been in this party too long i just wanna be with you when i come down, you when i come down, you when i come down, you, you, you girl, its been a while since ive felt your love girl, right now, cant think of nothin i need more i just wanna be with you when i come down, you when i come down, you when i come down, you, you, you verse 1 i need you right here when i wake up you said that youd be here and youd wait on me, yeah no matter what i say when im wasted i just need to know you wont fade on me yeah, ahead of time cause, girl, i wanna love you til the end of times just let me know, baby when i said youre mine, i meant youre mine, yeah, yeah when i had your time, i had your time, yeah, yeah chorus ive been gettin high and a little too drunk baby, ive been in this party too long i just wanna be with you when i come down, you when i come down, you when i come down, you, you, you girl, its been a while since ive felt your love girl, right now, cant think of nothin i need more i just wanna be with you when i come down, you when i come down, you when i come down, you, you, you you might also like private the kid laroi rather be the kid laroi july the kid laroi verse 2 got way too drunk and i texted like three times, yeah fuck im sorry i didnt say sorry, that was my pride, yeah pride there was a whole lot of girls in the room, i paid no mind still uh, uh i needed you to rescue me that night, yeah cause i was gettin high, i was way too drunk baby, youre the only one that i need now i just wanna be with you now the suns up, you can we come down you now ive come down, you, you, you outro i think that you know now id rather be with you id rather be with you with you oohooh",https://genius.com/The-kid-laroi-come-down-lyrics
600,30,rather be,the kid laroi,2026-01-09,pop,english,"chorus the kid laroi rather be with you rather be with you rather be with you with you verse 1 the kid laroi this club dont close till 6 a.m. she say that shell be here till then ask whats up with me after ill probably be in bed she only strips on the weekend she told me that shes a fan ill just sit here and pretend that i dont wanna be with you instead chorus the kid laroi rather be with you said i would rather be with you okay rather be with you with you, oh verse 2 the kid laroi i told you id focus on me, but ive been on bullshit since you left me that wasnt my plan, but you out here again doin shit, tryna tst me you movin spiteful and doin shit, hopin that it gets back to m, babe i would rather be back at your place, tell me, can i come back there again cause im over us being messy im reminiscin on that one time we were fuckin crazy in the backseat yeah, the sex was cool and all, but, honestly, i miss my bestie i got so much to update you on, im beggin you, baby, to text me you might also like private the kid laroi july the kid laroi come down the kid laroi chorus the kid laroi rather be with you said i would rather be with you okay rather be with you with you, oh verse 3 the kid laroi its 5 a.m., my head is spinnin i got so drunk, now i cant feel shit now at least it makes it easier to pretend that i dont wanna be with you instead chorus the kid laroi rather be with you rather be with you rather be with you with you bridge the kid laroi rather be with you rather be with you rather be with you with you, ooh verse 4 lithe the kid laroi its plain to say life will never be the same its way too late, still fuckin round, im out this bitch im drunk, im gone, but you and me dont never bend take me out cause this shit gettin lonely now lovedrunk, lovedrunk, you want me come home tonight fucked up, iced out, 1942 tonight im too lovedrunk, i miss me my brothers but im too drunk, lovedrunk, only wantin you tonight its plain to say life will never be the same rather be with you its way too late, still fuckin round, im out this bitch rather be with you im drunk, im gone, but you and me dont never bend rather be with you take me out cause this shit gettin lonely now with you, ooh verse 5 the kid laroi yeah, i cant hide this shit, i feel lost i cant lie to you, girl, i feel crossed hit the strip, now im throwin up, ayy now im throwin up ones take the amex out, go dumb i told dev, go take out some funds im tryna pour up till i cant feel, uh, ayy till i cant feel nothin no matter how much that shit cost i still cant get you out of my thoughts i still think about you when im sauced facts no matter how much shit that ive bought no matter how many times weve fought it made me only wanna be with you more its safe to say, sometimes i still get lonely, girl its safe to say, id rather you be on me, girl i hate the blame game, i will take the fall for you i cant just fake, it aint easy gettin over you chorus the kid laroi rather be with you rather be with you rather be with you with you, ooh",https://genius.com/The-kid-laroi-rather-be-lyrics
606,36,thank god,the kid laroi,2026-01-09,pop,english,"chorus i know that you heard from people around you about where ive been ever since we went under if you ever question, or happen to wonder if i found another, i could never love her the way i loved you, you the way i loved you, you verse 1 thank god i got a privacy screen on my phone or id be caught she sits right next to me, but i still look at these old pictures of us you broke it off, but still dont wanna see me with nobody else prechorus oh, come on, baby, make your mind up, just go with what you felt am i insane, for saying you ar entirely to blame don being hung up on things that wont change and now were really a thousand miles away, baby, i chorus i know that you heard from people around you about where ive been, ever since we went under if you ever question, or happen to wonder if i found another, i could never love her the way i loved you, you the way i loved you, you you might also like the moment the kid laroi clara la san im so in love with you the kid laroi never came back the kid laroi verse 2 so if you cant, then ill cut it already know im gutted all that i ever wanted was you at least with yourself, be honest is this the way you want it prechorus come on, baby, make your mind up, just go with what you felt am i insane for saying you are entirely to blame done being hung up on things that wont change and now were really a thousand miles away, baby, i chorus i know that you heard from people around you about where ive been, ever since we went under if you ever question, or happen to wonder if i found another, i could never love her the way i loved you, you i wish that you would understand, understand the way i loved you, you the way that i i know that you heard from people around you about where ive been, ever since we went under if you ever question, or happen to wonder if i found another, i could never love her the way i loved you, you the way i loved you, you outro the way i loved you, you i wish that you would understand, understand the way i loved you, you the way that i the way i loved you, you the way i loved you",https://genius.com/The-kid-laroi-thank-god-lyrics
608,38,maybe i m wrong,the kid laroi,2026-01-09,pop,english,"verse 1 heart on my sleeve, sorry if ive been cold i was more hurt than what i had led on but im never scared to admit when im wrong i took down the pictures i kept on my walls i got so mad i wrote three different songs but i scotherped them all cause its not what i want prechorus so can we stop chorus because im so tired i put away my pride thats cause i love you too much to fight or maybe im wrong and maybe youre right and ill know well both be fine it just might take some time you know i love you too much to fight or maybe im wrong and maybe youre right maybe, yeah verse 2 im well aware that its over and done yeah, i can admit that i lost and you won whatever you need so that we can move on when i think bout the good times, the anger dissolves cant have each other, but still got these songs part of my life, youll never completely be gone you might also like im so in love with you the kid laroi never came back the kid laroi private the kid laroi prechorus so can we stop chorus because im so tired i put away my pride thats cause i love you too much to fight or maybe im wrong and maybe youre right and ill know well both be fine it just might take some time you know i love you too much to fight or maybe im wrong and maybe youre right maybe, yeah bridge hey wrong hey wrong, maybe hey maybe youre right maybe, maybe im wrong hey oh, im so sure im wrong hey maybe im wrong hey maybe youre right outro ill know well both be fine it just might take some time you know i love you too much to fight maybe im wrong and maybe youre right",https://genius.com/The-kid-laroi-maybe-im-wrong-lyrics
610,40,back when you were mine,the kid laroi,2026-01-09,pop,english,"verse 1 caught up in the thought of us and the way you used to feel with me tell them anything you like but the truth, thats a whole nother thing, yeah prechorus and now youre sittin back at home back home got you feelin all alone all alone its just you and your thoughts now, thoughts now you thought itd never be this cold thought itd never be this i bet you thought id never sing this song i hope that you dont take this wrong i hope that im just saying that its different, different than chorus back when you were mine uh you were mine, you were mine back when you were mine uh you were mine, you were mine, ahyeah back when you were mine verse 2 uh, i spent all of my money on you, uh gave you all of my time, thats true, uh did everything i was supposed to do back when you were mine i defended every lie about you, uh i probably wouldve taken lives for you better yet, girl, i probably wouldve died for you back when you were mine you might also like her interlude the kid laroi maybe im wrong the kid laroi im so in love with you the kid laroi prechorus and now youre sittin back at home back home got you feelin all alone all alone its just you and your thoughts now, thoughts now you thought itd never be this cold thought itd never be this i bet you thought id never sing this song sing this song i hope that you dont take this wrong i hope that im just saying that its different, different than chorus back when you were mine uh you were mine you were mine, you were mine back when back when you were mine, uh yeah, i know what you said you were mine you said it was different you were mine, ahyeah but, baby, it was back then back when you were mine postchorus i said i know what you said, uh you said it was different, uh but, baby, it was back when back when you were mine yeah, i know what you said, uh you said it was different baby, it was so but, baby, it was back then back when you were mine outro back when, back when, uh back when, back when, uh back when, back when back when you back when, back when, uh back when, back when, uh back when, back when back when you",https://genius.com/The-kid-laroi-back-when-you-were-mine-lyrics
615,45,radar,playboi carti,2025-03-14,other,english,"intro playboi carti young thug metro metro verse 1 playboi carti dj swamp izzo schyeah, benzes in the backyard so hot, hit the radar stepping in van cleef, yeah, i got a jigsaw ooh, cash on the floor, yeah, molly dissolve im so pissed off, im so pissed off its a hundred thousand for the jet, schyeah, im bout to take off swamp izzo bitches tryna throw me sex, i told that lil ho she gotta chill out roam in texas with the stick, i pray my lil bitch, she gon bail out swamp izzo chorus playboi carti dj swamp izzo im fresh in the building, schyeah swamp she tryna wait for the deal swamp all black mask with the kill swamp i just got numb, no feel swamp every black kid that live she just said she went to liv she said my music is a gift bend her back, call a lyft verse 2 playboi carti dj swamp izzo schyeah, schyeah i just been swaggin out all of my bitches, they bad, they goddesses, you know that all of my shooters are haitian, hold up, bitch, you should know that carti walk in with a whole lot of sticks carti, walked out with a whole lot of blicks, ha carti whole lot of bitches suck dick carti, whole lot of bitch suck dick, uh whole lot of bitches get dick its carti world, whole lot of bitches hold dick ha, its up schyeah you might also like numb playboi carti ring the alarm playboi carti blick sum remix latto chorus playboi carti im fresh in the building, schyeah she tryna wait for the deal all black mask with the kill i just got numb, no feel every black kid that live she just said she went to liv she said my music is a gift bend her back, call a lyft outro dj swamp izzo, young thug playboi carti swamp izzo metro metro schyeah carti, carti carti, carti",https://genius.com/Playboi-carti-radar-lyrics
616,46,fine shit,playboi carti,2025-03-14,other,english,"chorus hey, my bitch so bad, she cant even go outside my bitch so bad, she cant even post online, huh dont say you ride for me, lil bitch, just ride, huh, huh dont say youll die for me, lil bitch, just die verse 1 im way too high for this, i might go live, huh uh take ten hoes out the country and all your team im geeked, im lit, im turnt, im off them beans, yeah huh take one pill out in ibiza, now she a fiend, yeah take one pill out in ibiza, now she a fiend, yeah might blow the whole advance on a brandnew chain bitch fuck me, double0, go tat the gang chorus huh, huh, hy, my bitch so bad, she cant even go outsid yeah, huh my bitch so bad, she cant even go online, huh huh dont say you ride for me, lil bitch, just ride, huh dont say youll die for me, lil bitch, just die, yeah dont say youll die for me, lil bitch, just die, huh, huh die, die, die verse 2 in new york, i stepped in my timbs, i cant feel my limbs i just canceled one of my shows to watch me a film, uhuh i got a ho thats still so bad, gotta put her on film i bought that ho a lot of clothes, but she love her skims the money gon talk you might also like where was you travis scott, playboi carti future shyne travis scott glorilla fomdj playboi carti chorus hey, my bitch so bad, she cant even go outside yeah, huh my bitch so bad, she cant even go online, huh huh dont say youll ride for me, lil bitch, just ride, huh dont say youll die for me, lil bitch, just die, yeah dont say youll die for me, lil bitch, just die, huh, huh",https://genius.com/Playboi-carti-fine-shit-lyrics
617,47,backd00r,playboi carti,2025-03-14,other,english,"intro playboi carti backdoor, backdoor backdoor, backdoor backdoor, backdoor backdoor, backdoor verse 1 playboi carti lets go, lets go shes a good girl, tell her let go she cant take it, im a monster, no more, schyeah play with the munyuns, dior, huh live life on the hill like a senior, uh dont play with me, gangster, i dont see ya i stay with a ten, she aaliyah, uh its a whole bunch of dubs, we in cheetah chorus kendrick lamar, kendrick lamar jhen aiko, playboi carti ooh ima make it back and probably spend it all on you come through from the back so dont nobody talk i put them vvs on your decollet, i know you feel nauseous bitches best stay in they place or move around with caution vvs on your decollet, mmmm baby, pull up through the backdoor, backdoor schyeah backdoor, backdoor turn the lights down, im slidin through the backdoor, backdoor mmbers only, ridin through the backdoor, backdoor vamp life, spooky, vamp lif, spooky yeah you might also like 666evil playboi carti i do the most playboi carti where was you travis scott, playboi carti future verse 2 playboi carti i stay with a ten, she aaliyah, uh its a whole bunch of dubs, we in cheetah your whole gang just told, whos your leader my ho gas me up, cheerleader take me a cup, schyeah schyeah me and lil twin locked in, aint worried bout nothin schyeahschyeah, schyeah, schyeah you open your face, lil bitch, get hit with this gun, schyeah its an opium farm, im raisin these bitches like some dons, schyeah im a bomb, im osama, im blunt, ah, yeah its a chase, get a k, hit his chest, hit his waist what you say what you say im a vibe and a sensei backdoor, backdoor chorus kendrick lamar, kendrick lamar jhen aiko, playboi carti ooh ima make it back and probably spend it all on you come through from the back so dont nobody talk i put them vvs on your decollet, i know you feel nauseous bitches best stay in they place or move around with caution vvs on your decollet, mmmm baby, pull up through the backdoor, backdoor schyeah backdoor, backdoor turn the lights down, im slidin through the backdoor, backdoor members only, ridin through the backdoor, backdoor vamp life, spooky, vamp life, spooky yeah",https://genius.com/Playboi-carti-backd00r-lyrics
618,48,toxic,playboi carti skepta,2025-03-14,other,english,"chorus playboi carti uh, the moshpit real toxic i got too much profit i got too much profit i got too much profit uh, the moshpit real toxic i got too much profit i got too much profit lil carti, lil carti i got too much profit verse 1 playboi carti uh, i just spint the block, sheesh i just bought a brandnew jeep yeah and i bought an srt yeah and i bought an amg i just got a brandnew fleet yeah i just fucked a brandnew freak yeah and she got them titties did and she got that ass did white diamonds, caucasian yeah every day, amazing yeah my new bitch a blasian i fuck her like im crazy try to rep my gang, you not my gang, i might just take you yeah homixide, we killin everything yeah, we keep it gangster you might also like where was you travis scott, playboi carti future shyne travis scott glorilla champain vacay travis scott don toliver chorus playboi carti the moshpit real toxic i got too much profit i got too much profit i got too much profit the moshpit real toxic i got too much profit i got too much profit i got too much profit verse 2 skepta i study the streets, how you gonna go to war with a genius this aint community servic, but i came in with them street sweepers your boyfrind is a follower, why dont you come roll with the leaders she told me she loves me, ha, woah, i told her im speechless im the omen, heart is frozen, if it aint fam, i got no emotions like poker, when i poke em, boy, i just texas hold em we got the club goin up like makonnen everyday, were cashin em checks, big smoke, you know the slogan i need a million dollars, i need a million euros i need a million pound, your wifey ringin me down she said i was trash, youre feelin me now uh, playboi, tell em, i broke america, big in the east im big in the west, im big in the south big racks, they jump out the house chorus playboi carti the moshpit real toxic i got too much profit i got too much profit i got too much profit uh, the moshpit real toxic i got too much profit i got too much profit i got too much profit",https://genius.com/Playboi-carti-and-skepta-toxic-lyrics
622,12,the abyss,the weeknd lana del rey,2025-01-31,pop,english,"i tried my best to not let you go i dont like the view from halfway down just promise me that it wont be slow will i feel the impact of the ground i tried to be something that ill never be why waste another precious hour why waste another precious ounce id rather leave somewhat of a legacy familiar a thought thats so familiar let me close my eyes with dignity lets end it all, the worlds not far behind so whats the point of staying its going up in flames, i know yes, i know, ooh ohohoh heyhey ohoh hey just hold my heartbeat close to you remember how it always beats for you im falling at the speed of light im staring at your shrinking face, dont cry you know my heart belongs to you one last time, say that you want me too the only words that gave me life now ill see you on the other side ohoh, ohoh, ohoh ohoh, ohoh, ohoh ohoh, ohoh, ohoh ohoh, ohoh, ohoh oh, mama, ill pray im running away ohoh heyhey oh, no ohoh heyhey is a threat not a promise mmm if youre looking for rage mmm, oh if youre looking for ragin quiet for days baby, running away ayyyeah its a threat, not a promise its a threat, not a promise yeahyeah ahha oh ahha oh ahha ahha mama, ill pray mama, ill pray",https://genius.com/The-weeknd-and-lana-del-rey-the-abyss-lyrics
623,15,house tour,sabrina carpenter,2025-08-29,pop,english,"take your shoes off thank you for dinner, baby, i had a really great time i really loved the conversation and that your car selfdrives the pineapple air freshener is my favorite kind well, this is me, but if you have time do you want the house tour i could take you to the first, second, third floor and i promise none of this is a metaphor i just want you to come inside baby, whats mine is now yours the couch is really comfy, comfy got some chips ahoy if youre hungry, hungry oh you dont need to love me, love me, love me im just so proud of my design to dim the lights do you want the house tour i could take you to the first, second, third floor i could take you to the and i promise none of this is a metaphor and i promise none of, ah i just want you to come inside come inside but never enter through the back door house tour yeah, i spent a little fortune on the waxed floors we can be a little reckless cause its insured im pleasured to be your hot tour guide baby, whats mine is now yours woo oh, oh, oh, oh, oh cocome on, babe, oh oh baby, if you come inside, if you come inside i might let you, uh my house is on pretty girl avenue my house was especially built for you some say its a place where your dreams come true my house could be your house too oh house tour so, um to the first, second, third floor house tour and i promise this is not a metaphor are you coming in or what",https://genius.com/Sabrina-carpenter-house-tour-lyrics
626,24,why,jon bellion luke combs,2025-05-23,rb,english,"im scared to meet you cause then i might know you and then once i know you, i might fall in love once im in love, then my heart is wide open for you to walk in, drop a bomb, blow it up so why love anything, anything, anything at all why love anything at all if the higher i fly is the further i fall then why love anything at all stressed and strung out about things that could happen and i could move mountains with the worry ive done so i called my father and he started laughing he said, you think its bad now, wait til you have a son so why love anything, anything, anything at all why love anything at all if the higher i fly is the further i fall then why love anything at all ohoh, oh why love why love, why love, why love why love why love, why love, why love why love why love anything at all anything at all if the higher i fly is the further i fall then why love anything, anything oh, anything at all why love love anything at all ooh if the higher i fly higher i fly is the further i fall why love why love, why love anything at all",https://genius.com/Jon-bellion-and-luke-combs-why-lyrics
629,27,dear god,tate mcrae,2025-02-21,rb,english,"yeah lay there back of my mind, he stay there pops up time to time like, hey there havent seen you in two years, but, baby, we still breathe the same air new love and its almost workin and i never used to be this person but here i am hands on my chest and my knees on the carpet hopin youll stop it ah dear god take his kiss right out of my brain take the pleasure out of my pain take the way he used to say, i love you dear god get his imprint out of my bed take amazing out of our sex take away the way i still might want to facts all the memories, babe, i play em all, play em all, play em all, play em all back to erase his name, id give it all, give it all, give everything that i have all my nogood thoughts, i pray about, pray about, pray about, pray about that take away the way i still might want to hottest thing ive ever touched, just bein honest really tryna be good, i promise thats why im here with my hands on my chest and my knees on the carpet hopin youll stop it ah dear god take his kiss right out of my brain take the pleasure out of my pain take the way he used to say, i love you dear god get his imprint out of my bed take amazing out of our sex take away the way i still might want to no facts all the memories, babe, i play em all, play em all, play em all, play em all back to erase his name, id give it all, give it all, give everything that i have all my nogood thoughts, i pray about, pray about, pray about, pray about that take away the way i still might want to dear god, uh, uh, uhuh dear god, uh, uh dear god, i hope youre listenin i play em all, play em all, play em all, play em all back i pray it aint him im missin dear god, i hope youre listenin i play em all, play em all, play em all, play em all back i pray it aint him im missin dear god, i hope youre listenin dear god, dear god, dear god i play em all, play em all, play em all, play em all back id give it all, give it all, give everything that i have dear god, dear god, dear god i pray about, pray about, pray about, pray about",https://genius.com/Tate-mcrae-dear-god-lyrics
630,28,up from the bottom,linkin park,2025-03-27,pop,english,"inside, it feels like i been barely breathin feels like air is runnin out inside, im stuck here starin at a ceilin you put up to keep me down, down, down, down, down wakin up without a name open up my eyes, knowin nothin is the same circlin around a drain as i realize that theres no one else to blame you keep me waitin down here, so far below starin up from the bottom, up from the bottom i try escapin, but theres nowhere to go starin up from the bottom, up from the bottom each time i hold my fist inside my pocket hold my breath until im blue feels like a knife pushed deep inside a socket bristlin, listenin to you, you, you, you, you wakin up without a name open up my eyes, knowin nothings gonna change circlin around a drain as i realize that theres no one else to blame you keep me waitin down here, so far below starin up from the bottom, up from the bottom i try escapin, but theres nowhere to go starin up from the bottom, up from the bottom everybody out, that devil is coming poison on his lips, and his words mean nothin cold like a mountaintop, father never loved him mama said hes bad enough times that it sunk in everybody out, that devil is comin promise you the world, but hes always bluffin before you even know its a trap, youre stuck in hes gone like a ghost, already off runnin you keep me waitin down here, so far below starin up from the bottom, up from the bottom i try escapin, but theres nowhere to go starin up from the bottom, gotta get out of here up from the bottom, gotta get out of here",https://genius.com/Linkin-park-up-from-the-bottom-lyrics
631,29,the flood,aurora,2025-04-04,pop,english,"who have i been who have i been who have i been fighting all this time all this time maybe ive spent too much time with myself cause everything became enormous in my head maybe there was never a demon maybe it was just me dreaming and now i cant escape this feeling after all this time i cant leave it to rest, leave it to rest its like nobody cares, nobody cares cause i feel like im floatin, flooded over everything and everyone knows how this story goes and ive been under pressure all my life and i feel like im losing all my fights ive been under pressure all my life but who have i been fighting all this time ive stood here for so many years waiting for the morning sunbeams to finally warm me but its happenin so slowly but its happening so slowly, slowly its impossible to notice its impossible to notice, notice how everything around me is changing after all this time i cant leave it to rest, leave it to rest its like nobody cares, nobody cares cause i feel like im floatin, flooded over everything and everyone knows how this story goes and ive been under pressure all my life and i feel like im losing all my fights ive been under pressure all my life but who have i been fighting all this time who have i been fighting all this time who have i been fighting all this time who have i been fighting all this time who have i been fighting all this time who have i been fighting all this time who have i been fighting all this time who have i been fighting all this time who have i been fighting all this time",https://genius.com/Aurora-the-flood-lyrics
633,32,around the sun,hunter hayes,2025-05-30,country,english,"i seem to have a lot in common with the sky some days are clear, but then, some days are not so bright and i seem to disappear into the night but i know, i know, im not alone im not the only one whos feelin all alone so many lost and lonely with nowhere to go so if youre out there hurtin more than you can show just know, just know, just know the earth keeps spinnin, moon keeps shinin stars keep tellin me i need to be reminded that clouds are temporary, im not the only one on earth still spinning round the sun yeah, were all still spinnin round the sun oh, i, i look around and i see more than i can fix was taught to love but all those teachers left me this im gonna teach em what i guess nobody did how to be an optimist the earth keeps spinnin, moon keeps shinin stars keep tellin me i need to be reminded that clouds are temporary, im not the only one on earth still spinning round the sun yeah, were all still spinning round the sun, yeah ah, ooh, ooh the earth keeps spinnin, moon keeps shinin stars keep tellin me i need to be reminded that clouds are temporary, im not the only one on earth still spinning round the sun yeah, were all still spinning round the sun the earth keeps spinnin, moon keeps shinin stars keep tellin me i need to be reminded that clouds are temporary, im not the only one on earth still spinning round the sun the earth keeps spinnin, moon keeps shinin keeps shinin stars keep tellin me i need to be reminded that clouds are temporary, im not the only one on earth still spinning round the sun were all still spinning round the sun were all still spinning round the sun were all still spinning round the sun yeah, were all still spinning all still spinning round the sun",https://genius.com/Hunter-hayes-around-the-sun-lyrics
634,33,bluebird,lana del rey,2025-04-18,pop,english,"little bird, bluebird fly away for both of us for you have wings, and ive no means to fly little bird, bluebird find some strength inside my hand anything to let you sing goodbye for your thoughts are small, they cant keep you from leavin as the wake of my past crashes in i hear the door slam, but the windows wide open we both shouldnt be dealing with him find a way to fly find a way to fly just shoot for the sun til i can finally run find a way to fly ive kept him at bay, but the horses are comin theyre racin their way round the bend your crash landings over, but the evening is hummin dont make me say it again find a way to fly find a way to fly just shoot for the sun til i can finally run find a way to fly mhm mhm just shoot for the sun til i can finally run find a way to fly",https://genius.com/Lana-del-rey-bluebird-lyrics
